.x,y,B,Bx,By,yzeroed,xzeroed
-11,-11,0.001321771,-0.001245388,0.00044282,0,0
-11,-10.9,0.001331092,-0.001251753,0.00045268,0.1,0
-11,-10.8,0.001341136,-0.001258761,0.000462783,0.2,0
-11,-10.7,0.001352316,-0.001266795,0.000473273,0.3,0
-11,-10.6,0.001363532,-0.00127483,0.000483763,0.4,0
-11,-10.5,0.001374783,-0.001282865,0.000494253,0.5,0
-11,-10.4,0.001385359,-0.00129033,0.000504249,0.6,0
-11,-10.3,0.001395606,-0.001297507,0.000513995,0.7,0
-11,-10.2,0.001403703,-0.001301398,0.000526067,0.8,0
-11,-10.1,0.001411358,-0.001304509,0.000538691,0.9,0
-11,-10,0.00141909,-0.00130762,0.000551315,1,0
-11,-9.9,0.001426918,-0.001310751,0.000563939,1.1,0
-11,-9.8,0.001436089,-0.001315281,0.000576532,1.2,0
-11,-9.7,0.001445326,-0.00131981,0.000589126,1.3,0
-11,-9.6,0.001454653,-0.001324368,0.000601718,1.4,0
-11,-9.5,0.00146508,-0.001330116,0.000614207,1.5,0
-11,-9.4,0.001475562,-0.001335865,0.000626696,1.6,0
-11,-9.3,0.001485959,-0.001341579,0.000638937,1.7,0
-11,-9.2,0.001496106,-0.001347219,0.00065064,1.8,0
-11,-9.1,0.001506296,-0.001352859,0.000662344,1.9,0
-11,-9,0.00151653,-0.0013585,0.000674048,2,0
-11,-8.9,0.001526077,-0.00136271,0.000686972,2.1,0
-11,-8.8,0.001535654,-0.001366859,0.00069995,2.2,0
-11,-8.7,0.001545292,-0.001371007,0.000712927,2.3,0
-11,-8.6,0.001555504,-0.001375804,0.00072578,2.4,0
-11,-8.5,0.001566014,-0.001380909,0.000738573,2.5,0
-11,-8.4,0.001576575,-0.001386015,0.000751366,2.6,0
-11,-8.3,0.001588168,-0.001391229,0.000766003,2.7,0
-11,-8.2,0.001599673,-0.00139615,0.000780844,2.8,0
-11,-8.1,0.001609193,-0.001399434,0.000794409,2.9,0
-11,-8,0.001618778,-0.001402719,0.000807974,3,0
-11,-7.9,0.001628426,-0.001406003,0.000821539,3.1,0
-11,-7.8,0.001638136,-0.001409287,0.000835104,3.2,0
-11,-7.7,0.001647907,-0.001412571,0.000848668,3.3,0
-11,-7.6,0.001657737,-0.001415856,0.000862233,3.4,0
-11,-7.5,0.00166802,-0.001418224,0.000878027,3.5,0
-11,-7.4,0.001678608,-0.00142011,0.000894993,3.6,0
-11,-7.3,0.001689303,-0.001421997,0.00091196,3.7,0
-11,-7.2,0.001699268,-0.001423747,0.000927608,3.8,0
-11,-7.1,0.001709228,-0.001425482,0.000943113,3.9,0
-11,-7,0.001719273,-0.001427218,0.000958619,4,0
-11,-6.9,0.0017294,-0.001428953,0.000974124,4.1,0
-11,-6.8,0.001739998,-0.001430419,0.000990704,4.2,0
-11,-6.7,0.001751477,-0.00143135,0.001009409,4.3,0
-11,-6.6,0.00176308,-0.001432282,0.001028114,4.4,0
-11,-6.5,0.001774805,-0.001433214,0.001046818,4.5,0
-11,-6.4,0.001785185,-0.001433007,0.001064602,4.6,0
-11,-6.3,0.001793782,-0.001431322,0.00108119,4.7,0
-11,-6.2,0.001802492,-0.001429637,0.001097777,4.8,0
-11,-6.1,0.001812022,-0.00142833,0.001115033,4.9,0
-11,-6,0.0018219,-0.001427146,0.001132508,5,0
-11,-5.9,0.001831891,-0.001425961,0.001149983,5.1,0
-11,-5.8,0.001841995,-0.001424777,0.001167457,5.2,0
-11,-5.7,0.00185221,-0.001423593,0.001184932,5.3,0
-11,-5.6,0.001862533,-0.001422409,0.001202407,5.4,0
-11,-5.5,0.001873169,-0.001420974,0.001220489,5.5,0
-11,-5.4,0.001884194,-0.001419218,0.001239357,5.6,0
-11,-5.3,0.001895344,-0.001417462,0.001258226,5.7,0
-11,-5.2,0.001906618,-0.001415706,0.001277094,5.8,0
-11,-5.1,0.001918012,-0.001413949,0.001295962,5.9,0
-11,-5,0.001929526,-0.001412193,0.001314831,6,0
-11,-4.9,0.001941156,-0.001410437,0.001333699,6.1,0
-11,-4.8,0.001951607,-0.001407329,0.001352107,6.2,0
-11,-4.7,0.00195802,-0.001399859,0.001369028,6.3,0
-11,-4.6,0.001964703,-0.001392469,0.001386033,6.4,0
-11,-4.5,0.001974216,-0.001386915,0.001404989,6.5,0
-11,-4.4,0.00198388,-0.001381361,0.001423946,6.6,0
-11,-4.3,0.001993693,-0.001375807,0.001442902,6.7,0
-11,-4.2,0.002003653,-0.001370253,0.001461859,6.8,0
-11,-4.1,0.002013757,-0.001364699,0.001480815,6.9,0
-11,-4,0.002023247,-0.001358357,0.001499465,7,0
-11,-3.9,0.002032152,-0.001351249,0.001517817,7.1,0
-11,-3.8,0.002041209,-0.001344142,0.00153617,7.2,0
-11,-3.7,0.002050415,-0.001337035,0.001554522,7.3,0
-11,-3.6,0.002059767,-0.001329927,0.001572874,7.4,0
-11,-3.5,0.002069264,-0.00132282,0.001591227,7.5,0
-11,-3.4,0.002078905,-0.001315713,0.001609579,7.6,0
-11,-3.3,0.002089732,-0.001309108,0.00162887,7.7,0
-11,-3.2,0.002100785,-0.001302543,0.001648236,7.8,0
-11,-3.1,0.002111294,-0.001293885,0.001668359,7.9,0
-11,-3,0.002120722,-0.001282561,0.001688934,8,0
-11,-2.9,0.002129529,-0.001270369,0.00170911,8.1,0
-11,-2.8,0.00213856,-0.001258178,0.001729285,8.2,0
-11,-2.7,0.002147811,-0.001245986,0.00174946,8.3,0
-11,-2.6,0.00215728,-0.001233794,0.001769636,8.4,0
-11,-2.5,0.002166964,-0.001221602,0.001789811,8.5,0
-11,-2.4,0.002176861,-0.00120941,0.001809986,8.6,0
-11,-2.3,0.002186967,-0.001197219,0.001830161,8.7,0
-11,-2.2,0.002197254,-0.001185337,0.001850108,8.8,0
-11,-2.1,0.002207727,-0.001173567,0.001869973,8.9,0
-11,-2,0.002218392,-0.001161798,0.001889838,9,0
-11,-1.9,0.002229244,-0.001150028,0.001909703,9.1,0
-11,-1.8,0.002237333,-0.001137704,0.00192647,9.2,0
-11,-1.7,0.002244243,-0.001121213,0.001944096,9.3,0
-11,-1.6,0.002251388,-0.001104426,0.001961884,9.4,0
-11,-1.5,0.002258775,-0.001087639,0.001979673,9.5,0
-11,-1.4,0.002266402,-0.001070853,0.001997461,9.6,0
-11,-1.3,0.002274266,-0.001054066,0.00201525,9.7,0
-11,-1.2,0.002282366,-0.001037279,0.002033039,9.8,0
-11,-1.1,0.002290698,-0.001020492,0.002050827,9.9,0
-11,-1,0.002297159,-0.001003278,0.002066488,10,0
-11,-0.9,0.002305691,-0.000987166,0.002083678,10.1,0
-11,-0.8,0.002314431,-0.000971054,0.002100867,10.2,0
-11,-0.7,0.002323377,-0.000954942,0.002118057,10.3,0
-11,-0.6,0.002332527,-0.00093883,0.002135247,10.4,0
-11,-0.5,0.002341762,-0.000922695,0.002152321,10.5,0
